timeindex,A,B,C,D,E,F,G
2015-01-01T00:00:00Z,0.02,0.02,0.02,0.00,-0.28,-0.28,-0.72
2015-01-01T01:00:00Z,0.03,0.03,0.02,0.00,-0.26,-0.26,-0.70
2015-01-01T02:00:00Z,0.03,0.03,0.02,0.00,-0.35,-0.35,-0.70
2015-01-01T03:00:00Z,0.03,0.03,0.02,0.00,-0.22,-0.22,-0.69
2015-01-01T04:00:00Z,0.04,0.03,0.02,0.00,-0.39,-0.39,-0.70
2015-01-01T05:00:00Z,0.05,0.04,0.02,0.00,-0.53,-0.53,-0.69
2015-01-01T06:00:00Z,0.06,0.05,0.02,0.00,-0.50,-0.50,-0.68
2015-01-01T07:00:00Z,0.17,0.14,0.03,0.00,-0.43,-0.43,-0.56
2015-01-01T08:00:00Z,0.11,0.14,0.04,0.00,-0.39,-0.39,-0.62
2015-01-01T09:00:00Z,-0.16,-0.14,-0.25,-0.15,-0.79,-0.79,-0.89
2015-01-01T10:00:00Z,-0.2214493,-0.21,-0.33,-0.15,-0.99,-0.99,-0.96
2015-01-01T11:00:00Z,-0.35,-0.34,-0.45,-0.15,-1.07,-1.07,-1.07
2015-01-01T12:00:00Z,-0.55,-0.54,-0.89,-0.15,-1.37,-1.37,-1.29
2015-01-01T13:00:00Z,0.09,0.08,-0.06,0.00,-0.74,-0.74,-0.69
2015-01-01T14:00:00Z,0.01,0.01,-0.11,0.00,-0.82,-0.82,-0.77
2015-01-01T15:00:00Z,0.01,0.01,-0.07,0.00,-0.83,-0.83,-0.72
2015-01-01T16:00:00Z,0.12,0.10,0.04,0.00,-0.67,-0.67,-0.61
2015-01-01T17:00:00Z,0.15,0.13,0.04,0.00,-0.73,-0.73,-0.57
2015-01-01T18:00:00Z,0.16,0.14,0.05,0.00,-0.77,-0.77,-0.57
2015-01-01T19:00:00Z,0.23,0.20,0.07,0.00,-0.75,-0.75,-0.49
2015-01-01T20:00:00Z,0.18,0.16,0.06,0.00,-0.78,-0.78,-0.55
2015-01-01T21:00:00Z,0.14,0.12,0.04,0.00,-0.82,-0.82,-0.59
2015-01-01T22:00:00Z,0.11,0.10,0.03,0.00,-0.87,-0.87,-0.63
2015-01-01T23:00:00Z,0.07,0.06,0.03,0.00,-0.91,-0.91,-0.67
2015-01-02T00:00:00Z,0.04,0.04,0.02,0.00,-0.93,-0.93,-0.69
2015-01-02T01:00:00Z,0.04,0.03,0.02,0.00,-0.96,-0.96,-0.71
2015-01-02T02:00:00Z,0.03,0.03,0.02,0.00,-0.97,-0.97,-0.70
2015-01-02T03:00:00Z,0.03,0.03,0.02,0.00,-0.97,-0.97,-0.69
2015-01-02T04:00:00Z,0.04,0.03,0.02,0.00,-0.97,-0.97,-0.70
2015-01-02T05:00:00Z,0.05,0.04,0.02,0.00,-0.95,-0.95,-0.69
2015-01-02T06:00:00Z,0.07,0.06,0.02,0.00,-0.93,-0.93,-0.67
2015-01-02T07:00:00Z,0.16,0.13,0.03,0.00,-0.79,-0.79,-0.58
2015-01-02T08:00:00Z,-0.02,0.04,-0.08,0.00,-0.98,-0.98,-0.76
2015-01-02T09:00:00Z,-0.03,0.04,-0.07,0.00,-1.01,-1.01,-0.77
2015-01-02T10:00:00Z,-0.15,-0.12,-0.21,0.00,-1.15,-1.15,-0.87
2015-01-02T11:00:00Z,-0.27,-0.25,-0.32,0.00,-1.26,-1.26,-0.99
2015-01-02T12:00:00Z,-0.13,-0.12,-0.22,0.00,-1.13,-1.13,-0.85
2015-01-02T13:00:00Z,-0.23,-0.22,-0.29,0.00,-1.22,-1.22,-0.96
2015-01-02T14:00:00Z,-0.09,-0.09,-0.15,0.00,-1.07,-1.07,-0.82
2015-01-02T15:00:00Z,0.03,0.03,-0.02,0.00,-0.95,-0.95,-0.70
2015-01-02T16:00:00Z,0.12,0.10,0.03,0.00,-0.86,-0.86,-0.62
2015-01-02T17:00:00Z,0.13,0.11,0.04,0.00,-0.84,-0.84,-0.61
2015-01-02T18:00:00Z,0.15,0.14,0.05,0.00,-0.82,-0.82,-0.58
2015-01-02T19:00:00Z,0.21,0.19,0.08,0.00,-0.62,-0.62,-0.51
2015-01-02T20:00:00Z,0.17,0.15,0.07,0.00,-0.70,-0.70,-0.57
2015-01-02T21:00:00Z,0.14,0.13,0.04,0.00,-0.80,-0.80,-0.59
2015-01-02T22:00:00Z,0.11,0.10,0.03,0.00,-0.88,-0.88,-0.63
2015-01-02T23:00:00Z,0.07,0.06,0.03,0.07,-0.85,-0.85,-0.66
2015-01-03T00:00:00Z,0.04,0.04,0.04,0.04,-0.83,-0.83,-0.69
2015-01-03T01:00:00Z,0.04,0.04,0.04,0.04,-0.89,-0.89,-0.70
2015-01-03T02:00:00Z,0.04,0.03,0.03,0.04,-0.87,-0.87,-0.69
2015-01-03T03:00:00Z,0.03,0.03,0.03,0.03,-0.68,-0.68,-0.69
2015-01-03T04:00:00Z,0.04,0.03,0.03,0.04,-0.82,-0.82,-0.70
2015-01-03T05:00:00Z,0.05,0.04,0.04,0.05,-0.89,-0.89,-0.69
2015-01-03T06:00:00Z,0.06,0.06,0.06,0.06,-0.80,-0.80,-0.68
2015-01-03T07:00:00Z,0.19,0.16,0.16,0.19,-0.67,-0.67,-0.55
2015-01-03T08:00:00Z,0.17,0.18,0.16,0.17,-0.74,-0.74,-0.56
2015-01-03T09:00:00Z,0.16,0.18,0.16,0.16,-0.66,-0.66,-0.59
2015-01-03T10:00:00Z,-0.03,0.02,-0.08,0.00,-0.89,-0.89,-0.78
2015-01-03T11:00:00Z,-0.18,-0.14,-0.22,0.00,-0.82,-0.82,-0.92
2015-01-03T12:00:00Z,-0.65,-0.59,-0.78,0.00,-0.96,-0.96,-1.40
2015-01-03T13:00:00Z,-0.70,-0.66,-0.75,0.00,-1.07,-1.07,-1.45
2015-01-03T14:00:00Z,-0.10,-0.10,-0.18,0.00,-0.36,-0.36,-0.90
2015-01-03T15:00:00Z,0.09,0.08,0.01,0.00,-0.13,-0.13,-0.67
2015-01-03T16:00:00Z,0.10,0.08,0.02,0.00,-0.18,-0.18,-0.65
2015-01-03T17:00:00Z,0.11,0.09,0.03,0.00,-0.13,-0.13,-0.64
2015-01-03T18:00:00Z,0.15,0.13,0.04,0.00,-0.24,-0.24,-0.61
2015-01-03T19:00:00Z,0.20,0.18,0.07,0.00,-0.29,-0.29,-0.53
2015-01-03T20:00:00Z,0.16,0.14,0.06,0.00,-0.36,-0.36,-0.60
2015-01-03T21:00:00Z,0.13,0.12,0.04,0.00,-0.55,-0.55,-0.62
2015-01-03T22:00:00Z,0.11,0.10,0.03,0.00,-0.52,-0.52,-0.63
2015-01-03T23:00:00Z,0.06,0.06,0.03,0.00,-0.44,-0.44,-0.68
2015-01-04T00:00:00Z,0.04,0.04,0.04,0.00,-0.28,-0.28,-0.70
2015-01-04T01:00:00Z,0.04,0.03,0.03,0.00,-0.08,-0.08,-0.71
2015-01-04T02:00:00Z,0.03,0.03,0.03,0.00,-0.07,-0.07,-0.75
2015-01-04T03:00:00Z,0.03,0.03,0.03,0.00,-0.08,-0.08,-0.73
2015-01-04T04:00:00Z,0.04,0.03,0.03,0.00,-0.08,-0.08,-0.71
